,match_id,event_id,possession_id,text
0,15946,0,2,"Start position: (59.0, 39.9), End Position: (86.2, 52.0) | Time: 00:00:00.575 | Phase: From Kick Off | Event: Pass"
1,15946,1,2,"Start position: (86.2, 52.0) | Time: 00:00:02.591 | Phase: From Kick Off | Event: Ball Receipt*"
2,15946,2,2,"Start position: (86.2, 52.0), End Position: (83.2, 52.7) | Time: 00:00:02.591 | Phase: From Kick Off | Event: Carry"
3,15946,3,2,"Start position: (83.2, 52.7), End Position: (33.5, 5.8) | Time: 00:00:03.864 | Phase: From Kick Off | Event: Pass | Outcome: Incomplete"
4,15946,4,2,"Start position: (40.2, 4.1) | Time: 00:00:07.152 | Phase: From Kick Off | Event: Ball Receipt* | Outcome: Incomplete"
5,15946,5,2,"Start position: (33.5, 5.8) | Time: 00:00:07.152 | Phase: From Kick Off | Event: Duel | Type: Aerial Lost"
6,15946,6,3,"Start position: (33.6, 5.9), End Position: (35.1, 18.3) | Time: 00:00:07.152 | Phase: Regular Play | Event: Pass"
7,15946,7,3,"Start position: (35.1, 18.3) | Time: 00:00:08.848 | Phase: Regular Play | Event: Ball Receipt*"
8,15946,8,3,"Start position: (35.1, 18.3), End Position: (36.2, 5.3) | Time: 00:00:08.848 | Phase: Regular Play | Event: Pass"
9,15946,9,3,"Start position: (36.2, 5.3) | Time: 00:00:09.984 | Phase: Regular Play | Event: Ball Receipt*"
10,15946,10,3,"Start position: (36.2, 5.3), End Position: (34.3, 4.9) | Time: 00:00:09.984 | Phase: Regular Play | Event: Carry"
11,15946,11,3,"Start position: (34.3, 4.9), End Position: (25.3, 1.6) | Time: 00:00:10.873 | Phase: Regular Play | Event: Pass"
12,15946,12,3,"Start position: (25.3, 1.6) | Time: 00:00:11.630 | Phase: Regular Play | Event: Ball Receipt*"
13,15946,13,3,"Start position: (25.7, 1.6), End Position: (90.1, 11.5) | Time: 00:00:11.630 | Phase: Regular Play | Event: Pass | Outcome: Incomplete"
